Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пиво», по месяцам, 01.01.2018 — 30.11.2024, все регионы, все устройства
январь 2018;1 810 608;0,023;
февраль 2018;2 115 137;0,027;
март 2018;2 107 574;0,025;
апрель 2018;1 932 288;0,025;
май 2018;2 175 195;0,029;
июнь 2018;2 353 225;0,034;
июль 2018;2 350 684;0,033;
август 2018;2 214 743;0,031;
сентябрь 2018;1 920 199;0,024;
октябрь 2018;2 228 015;0,024;
ноябрь 2018;2 007 975;0,023;
декабрь 2018;2 114 790;0,024;
январь 2019;2 321 333;0,026;
февраль 2019;2 700 438;0,032;
март 2019;2 422 448;0,027;
апрель 2019;2 371 990;0,028;
май 2019;2 523 955;0,032;
июнь 2019;2 617 165;0,036;
июль 2019;2 615 340;0,035;
август 2019;2 443 806;0,033;
сентябрь 2019;2 143 886;0,027;
октябрь 2019;2 692 557;0,030;
ноябрь 2019;2 355 084;0,026;
декабрь 2019;2 549 939;0,027;
январь 2020;2 858 305;0,029;
февраль 2020;3 123 016;0,034;
март 2020;2 732 543;0,027;
апрель 2020;2 890 361;0,024;
май 2020;3 045 768;0,028;
июнь 2020;3 143 364;0,035;
июль 2020;3 168 150;0,037;
август 2020;3 126 036;0,037;
сентябрь 2020;2 603 769;0,027;
октябрь 2020;2 866 839;0,026;
ноябрь 2020;2 993 198;0,026;
декабрь 2020;2 800 046;0,025;
январь 2021;2 941 559;0,028;
февраль 2021;3 284 008;0,033;
март 2021;2 982 067;0,027;
апрель 2021;3 041 338;0,028;
май 2021;3 289 357;0,032;
июнь 2021;3 601 957;0,036;
июль 2021;3 792 641;0,039;
август 2021;3 798 891;0,038;
сентябрь 2021;2 902 082;0,027;
октябрь 2021;3 032 415;0,026;
ноябрь 2021;2 957 590;0,025;
декабрь 2021;3 123 301;0,026;
январь 2022;3 281 616;0,027;
февраль 2022;3 415 598;0,029;
март 2022;3 239 976;0,025;
апрель 2022;3 421 123;0,028;
май 2022;3 807 519;0,032;
июнь 2022;4 001 311;0,037;
июль 2022;4 238 667;0,040;
август 2022;4 373 112;0,040;
сентябрь 2022;3 112 849;0,026;
октябрь 2022;3 554 374;0,028;
ноябрь 2022;3 388 061;0,027;
декабрь 2022;3 400 052;0,027;
январь 2023;3 361 809;0,027;
февраль 2023;3 519 616;0,031;
март 2023;3 628 094;0,029;
апрель 2023;3 600 756;0,031;
май 2023;3 849 818;0,034;
июнь 2023;4 037 429;0,039;
июль 2023;4 166 614;0,041;
август 2023;4 165 618;0,041;
сентябрь 2023;3 317 211;0,031;
октябрь 2023;3 322 211;0,028;
ноябрь 2023;3 209 079;0,027;
декабрь 2023;3 282 721;0,027;
январь 2024;3 454 115;0,028;
февраль 2024;3 517 891;0,031;
март 2024;3 437 738;0,030;
апрель 2024;3 527 675;0,032;
май 2024;3 876 530;0,036;
июнь 2024;4 060 267;0,043;
июль 2024;4 211 723;0,045;
август 2024;3 885 495;0,041;
сентябрь 2024;3 211 868;0,032;
октябрь 2024;3 288 700;0,029;
ноябрь 2024;3 419 575;0,029;
